Date,Clicks,Impressions,CTR,Position
2025-08-01,0,0,,
2025-08-02,0,0,,
2025-08-03,0,1,0%,225
2025-08-04,0,2,0%,2.5
2025-08-05,0,11,0%,65.3
2025-08-06,1,15,6.67%,50.6
2025-08-07,0,15,0%,49.1
2025-08-08,2,27,7.41%,37.1
2025-08-09,0,10,0%,53
2025-08-10,0,17,0%,67.5
2025-08-11,0,15,0%,73.7
2025-08-12,0,12,0%,63.9
2025-08-13,1,4,25%,66.2
2025-08-14,0,6,0%,41
2025-08-15,0,14,0%,68.8
2025-08-16,1,10,10%,45.7
2025-08-17,0,14,0%,71.2
2025-08-18,0,11,0%,58.5
2025-08-19,0,16,0%,47.5
2025-08-20,0,9,0%,62.3
2025-08-21,0,10,0%,30.7
2025-08-22,1,9,11.11%,55.7
2025-08-23,0,4,0%,49.5
2025-08-24,0,6,0%,33.8
2025-08-25,0,9,0%,65.1
2025-08-26,1,11,9.09%,37.7
2025-08-27,0,13,0%,37.5
2025-08-28,0,10,0%,36.2
2025-08-29,0,9,0%,88
2025-08-30,0,17,0%,22.7
2025-08-31,1,13,7.69%,44.4
2025-09-01,1,12,8.33%,51.2
2025-09-02,0,9,0%,21.8
2025-09-03,0,5,0%,18.6
2025-09-04,0,5,0%,33.2
2025-09-05,0,11,0%,24.1
2025-09-06,0,6,0%,28.8
2025-09-07,0,70,0%,5.7
2025-09-08,2,13,15.38%,25.4
2025-09-09,0,22,0%,24.3
2025-09-10,1,13,7.69%,34.4
2025-09-11,1,6,16.67%,55.8
2025-09-12,2,14,14.29%,15.2
2025-09-13,0,9,0%,7.6
2025-09-14,0,10,0%,4
2025-09-15,0,10,0%,7.1
2025-09-16,0,25,0%,7.2
2025-09-17,3,14,21.43%,4.2
2025-09-18,0,10,0%,7.8
2025-09-19,1,6,16.67%,16.5
2025-09-20,0,6,0%,9.2
2025-09-21,0,9,0%,7.3
2025-09-22,0,13,0%,6.2
2025-09-23,2,16,12.5%,14.2
2025-09-24,4,21,19.05%,10.1
2025-09-25,0,16,0%,8.9
2025-09-26,0,11,0%,11
2025-09-27,0,6,0%,8.3
2025-09-28,0,21,0%,14.5
2025-09-29,0,16,0%,6.9
2025-09-30,2,17,11.76%,12.5
2025-10-01,0,42,0%,9.6
2025-10-02,0,13,0%,13.1
2025-10-03,2,16,12.5%,8.2
2025-10-04,0,8,0%,8.1
2025-10-05,0,15,0%,9.7
2025-10-06,2,34,5.88%,6.1
2025-10-07,1,26,3.85%,10.9
2025-10-08,0,25,0%,12.7
2025-10-09,1,10,10%,8.9
2025-10-10,1,15,6.67%,7.4
2025-10-11,0,15,0%,8.2
2025-10-12,0,17,0%,12.5
2025-10-13,1,15,6.67%,9.9
2025-10-14,0,24,0%,8.1
2025-10-15,0,25,0%,11.5
2025-10-16,0,15,0%,9.8
2025-10-17,1,26,3.85%,7.3
2025-10-18,0,14,0%,10.6
2025-10-19,0,19,0%,7.5
2025-10-20,0,27,0%,7.5
2025-10-21,2,15,13.33%,8.7
2025-10-22,0,37,0%,15.5
2025-10-23,0,14,0%,9.7
2025-10-24,0,20,0%,8.2
2025-10-25,1,18,5.56%,9.3
2025-10-26,1,15,6.67%,8.2
2025-10-27,0,17,0%,7.9
2025-10-28,0,27,0%,6.8
2025-10-29,1,46,2.17%,10.8
2025-10-30,0,14,0%,5.5
2025-10-31,0,24,0%,12.4
2025-11-01,0,14,0%,10.1
2025-11-02,0,16,0%,10.3
2025-11-03,3,56,5.36%,7.5
2025-11-04,1,40,2.5%,7.8
2025-11-05,1,98,1.02%,10.2
2025-11-06,2,39,5.13%,9.2
2025-11-07,0,33,0%,13.3
2025-11-08,0,39,0%,12.9
2025-11-09,0,42,0%,8.8
2025-11-10,2,49,4.08%,7.3
2025-11-11,1,53,1.89%,9.7
2025-11-12,1,78,1.28%,12.6
2025-11-13,2,59,3.39%,9.8
2025-11-14,0,53,0%,9.3
2025-11-15,3,100,3%,6.1
2025-11-16,0,62,0%,6.2
2025-11-17,0,84,0%,12.8
2025-11-18,4,106,3.77%,10.2
2025-11-19,0,99,0%,15
2025-11-20,2,102,1.96%,13.4
2025-11-21,0,80,0%,10.2
2025-11-22,1,72,1.39%,12.1
2025-11-23,0,92,0%,5.9
2025-11-24,0,127,0%,7.9
2025-11-25,2,136,1.47%,6.8
2025-11-26,1,196,0.51%,8
2025-11-27,0,130,0%,7.2
2025-11-28,0,89,0%,11
2025-11-29,0,75,0%,8.6
2025-11-30,1,84,1.19%,7.2
2025-12-01,3,125,2.4%,7.2
2025-12-02,1,120,0.83%,6.1
2025-12-03,0,145,0%,8.8
2025-12-04,5,195,2.56%,6.5
2025-12-05,0,101,0%,7.2
2025-12-06,0,102,0%,6.6
2025-12-07,1,92,1.09%,8.6
2025-12-08,3,103,2.91%,9.9
2025-12-09,2,117,1.71%,8.8
2025-12-10,0,133,0%,9.9
2025-12-11,1,85,1.18%,16.7
2025-12-12,0,69,0%,14.3
2025-12-13,0,42,0%,12.4
2025-12-14,2,82,2.44%,11.9
2025-12-15,1,100,1%,11.7
2025-12-16,0,104,0%,12.2
2025-12-17,0,93,0%,13.9
2025-12-18,2,69,2.9%,23.2
2025-12-19,1,66,1.52%,17.1
2025-12-20,1,61,1.64%,13.6
2025-12-21,0,61,0%,14.4
2025-12-22,1,73,1.37%,15.5
2025-12-23,1,88,1.14%,22.6
2025-12-24,0,78,0%,21.4
2025-12-25,1,60,1.67%,33
2025-12-26,1,69,1.45%,15.1
2025-12-27,2,74,2.7%,13.4
2025-12-28,0,68,0%,21.2
2025-12-29,1,81,1.23%,15.7
2025-12-30,1,129,0.78%,13.6
2025-12-31,3,121,2.48%,14.5
2026-01-01,1,86,1.16%,20.6
2026-01-02,1,80,1.25%,16.7
2026-01-03,1,91,1.1%,13.5
2026-01-04,2,127,1.57%,12.5
2026-01-05,1,129,0.78%,14.1
2026-01-06,4,207,1.93%,9.8
2026-01-07,1,153,0.65%,14.8
2026-01-08,0,136,0%,13.4
2026-01-09,5,138,3.62%,20.8
2026-01-10,0,169,0%,14.2
2026-01-11,2,142,1.41%,18.2
2026-01-12,3,186,1.61%,15
2026-01-13,2,238,0.84%,13.8
2026-01-14,3,209,1.44%,14.3
2026-01-15,5,305,1.64%,10.6
2026-01-16,3,207,1.45%,16.1
2026-01-17,1,239,0.42%,14.8
2026-01-18,2,470,0.43%,8.7
2026-01-19,0,456,0%,12.1
2026-01-20,2,319,0.63%,16
2026-01-21,1,335,0.3%,15.2
2026-01-22,4,327,1.22%,13.7
2026-01-23,1,293,0.34%,14.9
2026-01-24,5,272,1.84%,15.1
2026-01-25,2,286,0.7%,15.1
2026-01-26,4,352,1.14%,12.6
2026-01-27,5,315,1.59%,12
2026-01-28,6,317,1.89%,12.7
2026-01-29,3,325,0.92%,11.4
2026-01-30,5,379,1.32%,10.2
2026-01-31,2,223,0.9%,10.8
2026-02-01,3,304,0.99%,10.3
2026-02-02,2,306,0.65%,10.7
2026-02-03,3,235,1.28%,9.6
2026-02-04,2,274,0.73%,11.7
2026-02-05,3,190,1.58%,14.3
2026-02-06,2,131,1.53%,14.7
2026-02-07,1,95,1.05%,9
2026-02-08,4,117,3.42%,10
2026-02-09,0,154,0%,11.3
2026-02-10,2,178,1.12%,8.9
2026-02-11,2,178,1.12%,12.2
2026-02-12,1,191,0.52%,12.2
2026-02-13,1,122,0.82%,12.8
2026-02-14,0,130,0%,14.4
2026-02-15,0,158,0%,11.7
2026-02-16,3,170,1.76%,12.1
2026-02-17,1,209,0.48%,11.3
2026-02-18,3,191,1.57%,10.7
2026-02-19,1,181,0.55%,11.6
2026-02-20,1,167,0.6%,11.7
2026-02-21,0,129,0%,12.2
2026-02-22,1,122,0.82%,11.7
2026-02-23,3,111,2.7%,9.3
2026-02-24,3,152,1.97%,9.6
2026-02-25,1,142,0.7%,12
2026-02-26,1,134,0.75%,11.6
2026-02-27,0,104,0%,15
2026-02-28,1,84,1.19%,10.7
2026-03-01,1,69,1.45%,12.2
2026-03-02,2,119,1.68%,11.7
2026-03-03,3,128,2.34%,10
2026-03-04,2,113,1.77%,11.7
2026-03-05,1,120,0.83%,11.3
2026-03-06,5,145,3.45%,16
2026-03-07,0,148,0%,11.4
2026-03-08,2,91,2.2%,14.6
2026-03-09,1,156,0.64%,11.6
2026-03-10,0,131,0%,10.3
2026-03-11,4,130,3.08%,12.9
2026-03-12,2,143,1.4%,10.1
2026-03-13,2,134,1.49%,12.1
2026-03-14,0,128,0%,13.4
2026-03-15,1,115,0.87%,11.6
2026-03-16,1,162,0.62%,14.2
2026-03-17,7,139,5.04%,9.5
2026-03-18,0,160,0%,11.7
2026-03-19,0,141,0%,12.9
2026-03-20,1,133,0.75%,13.9
2026-03-21,1,132,0.76%,11.9
